"PID","cond","antiest","ampride","trustgov","demsatis","radchange","distrust","discontent","top_value_char","response","exclude","val_1","val_2","val_3","val_4","val_5","antiest_1","antiest_2","antiest_3","antiest_4R","vote_bin","vote_who","vote_whoelse","PartyID7","PartyID5","IDEO","GENDER","AGE","RACETHNICITY","EDUC5","INCOME","order_dvs_first","order_dvs_second","order_dvs_third","order_dvs_fourth","order_dvs_fifth","STATE","RELIG","EMPLOY","REGION4","REGION9","STARTDT"
165,"brkn",4.5,4,3,5,5,5,4.83333333333333,"Liberty","Too much regulation of business and personal lives is stifling people's liberty, while lack of other regulations is ensuring some people never get the chance to enjoy America's liberty.",0,"Liberty","Integrity","Justice","Opportunity","Freedom of speech",3,5,5,5,"vote","trump",NA,7,5,5,"female",44,"white/non-hisp","masters","$30,000 to $34,999","antiest","trustgov","radchange","ampride","demsatis","MO",1,7,2,4,"11/20/2024 8:01"
167,"ctrl",7,1,2,1,7,6,6.66666666666667,"freedom","I would say that the best definition of freedom is to do anything as long as the law does NOT prohibit it.",0,"freedom","equity","diversity","human right","justice",7,7,7,7,"vote","trump",NA,5,4,3,"male",45,"asian/non-hisp","bachelors","$200,000 or more","demsatis","ampride","antiest","radchange","trustgov","CA",14,1,4,9,"11/19/2024 20:13"
169,"brkn",3.5,3,4,3,5,4,4.16666666666667,"individual freedom (Bill of Rightsl","Attempts by many Christians to impose their beliefs and values on others. Attempts to stifle the press. Intimidation of some in authority against the powerless.",0,"individual freedom (Bill of Rightsl","strength against enemies","acceptance of individual differences","strong families & communities","democracy",6,3,2,3,"vote","harris",NA,1,1,3,"female",78,"white/non-hisp","masters","$85,000 to $99,999","trustgov","radchange","antiest","demsatis","ampride","IL",13,5,2,3,"11/18/2024 20:37"
174,"kept",6,3,2,4,7,6,6.33333333333333,"separation of powers","In today's world it will be difficult to live up its promise of separation of power.  We are living in a world turned upside down.",0,"rule of law","liberty","separation of powers","political equality","fair elections",7,7,7,3,"vote","harris",NA,1,1,3,"female",78,"white/non-hisp","some coll","$35,000 to $39,999","antiest","ampride","radchange","demsatis","trustgov","NY",11,5,1,2,"11/21/2024 19:13"
175,"ctrl",5.33333333333333,3,4,3,NA,4,4.66666666666667,"Freediom","The right to succeed and live without fear of being mistreated and possibility that you can have a good life for you and your family",0,"Freediom","future","equality","peace and safety","prosperity",6,5,NA,5,"vote","harris",NA,2,1,3,"female",75,"white/non-hisp","some coll","$25,000 to $29,999","radchange","trustgov","antiest","ampride","demsatis","CA",10,5,4,9,"11/18/2024 19:34"
180,"brkn",3.5,3,3,5,5,5,4.5,"freedom from tyranny","The will of the people has been jeopardised by corrupt manipulation of our system allowing a minority to impose its will on the majority. The US is in danger of losing rights of the people enshrined in the Constitution by not acting to strengthen norms and values un",0,"freedom from tyranny","freedom of religion","freedom of speech","equality under the law","right of personal privacy",6,3,2,3,"no vote",NA,NA,1,1,3,"female",67,"white/non-hisp","masters","$15,000 to $19,999","ampride","antiest","radchange","demsatis","trustgov","LA",11,6,3,7,"11/19/2024 10:23"
186,"kept",6.25,4,2,4,7,6,6.41666666666667,"Family","The U S. Seems to be in the business of breaking up family. All of the children that they took from there parents and deported the parents. What did they do with the children?",0,"Family","Religion","Security","Loyalty","Family",7,7,7,4,"vote","harris",NA,3,2,3,"female",43,"black/non-hisp","bachelors","$85,000 to $99,999","radchange","demsatis","trustgov","antiest","ampride","FL",12,7,3,5,"11/21/2024 17:55"
191,"kept",3.75,3,4,4,4,4,3.91666666666667,"Justice","Military forces. Law enforcement. Court system. Consequences for those that neglect the laws put in place; state and federal.",0,"Independence","Respect","Individual beliefs","Peace","Justice",3,4,4,4,"vote","trump",NA,6,5,4,"female",35,"white/non-hisp","some coll","$60,000 to $74,999","demsatis","ampride","radchange","trustgov","antiest","WI",1,1,2,3,"11/19/2024 7:59"
192,"brkn",5,4,3,3,5,5,5,"Freedom of speech","People are being thrown out of town and school meetings for expressing their complaints.  And the fbi is calling them threats.",0,"Freedom of speech","Freedom of religonr","Right to assemble","Freedom of press","Freedom of petition",5,5,5,5,"vote","trump",NA,6,5,4,"male",74,"white/non-hisp","some coll","$85,000 to $99,999","trustgov","antiest","demsatis","ampride","radchange","IN",2,5,2,3,"11/18/2024 18:08"
194,"brkn",4.5,4,2,4,5,6,5.16666666666667,"individualism","people have the ability and freedom to express how they look where they live and who they associate with",0,"individualism","free speech","free will","self government","importance of nuclear family",6,3,5,4,"vote","harris",NA,1,1,2,"female",20,"white/non-hisp","some coll","$85,000 to $99,999","ampride","antiest","radchange","trustgov","demsatis","TN",12,1,3,6,"11/20/2024 18:16"
200,"brkn",2,5,5,6,1,3,2,"Freedom","Systematic inequalities and restrictions on individual rights. Politicians trying to censor certain things.",0,"Freedom","Equality","Opportunity","Justice","Diversity",1,2,2,3,"vote","trump",NA,7,5,4,"male",44,"white/non-hisp","some coll","$175,000 to $199,999","demsatis","radchange","antiest","ampride","trustgov","IL",2,1,2,3,"11/19/2024 15:46"
206,"kept",4,4,4,4,2,4,3.33333333333333,"Opportunity to succeed or fail","US is one of the few countries left where it's people still have an opportunity succeed or fail. We are still the most desired country to immigrate to.",0,"Strong National Defence","Freedom of choice","Right to be safe in your own community","Opportunity to succeed or fail","Access to health care",2,5,6,3,"vote","trump",NA,5,4,5,"male",59,"white/non-hisp","bachelors","$75,000 to $84,999","radchange","trustgov","demsatis","ampride","antiest","MN",12,1,2,4,"11/18/2024 20:55"
215,"kept",4.5,4,4,4,4,4,4.16666666666667,"Freedom","To a legal limit American people are free in their choices/actions in their daily lives. There is freedom of speech.",0,"Freedom","Equality","Diversity","Individualism","Privacy",5,5,5,3,"vote","trump",NA,4,3,3,"female",27,"white/non-hisp","some coll","$20,000 to $24,999","radchange","ampride","demsatis","trustgov","antiest","CA",12,1,4,9,"11/18/2024 23:40"
216,"kept",5.25,2,3,3,5,5,5.08333333333333,"democracy","It seems to me the people have less of a say. It seems that it's the career politicians that are making most of the decisions with little regard to what the people say/want.",0,"freedom","democracy","equility","justice","goverance",4,6,6,5,"no vote",NA,NA,4,3,3,"male",56,"white/non-hisp","some coll","$85,000 to $99,999","trustgov","radchange","demsatis","ampride","antiest","MN",1,1,2,4,"11/19/2024 13:01"
224,"ctrl",5,3,2,3,5,6,5.33333333333333,"Freedom of speech","The ability to speak your mind in a peaceful manner. The ability to be heard by state and board members.",0,"Right to own firearms","Freedom of speech","Right to the pursuit of happiness","Innocent until proven guilty","In god we trust",5,5,5,5,"no vote",NA,NA,6,5,2,"female",35,"white/non-hisp","HS","$30,000 to $34,999","antiest","radchange","demsatis","trustgov","ampride","OH",11,4,2,3,"11/26/2024 21:45"
225,"brkn",2.25,5,6,6,2,2,2.08333333333333,"Freedom of rights","The freedom to be whoever you want to be, regardless of what you believe in. For example, the fact that now gay people can get married means that we all have equal rights. The way the US is not living up to its promise is by saying someone is guilty before even being proven innocent. That happens with the law when people go to jail when they were wrongly accused. And now with AI, they are making people say things that they never said.",0,"Freedom of religion","No British taxes","Freedom bear arms","Freedom of speech","Freedom of rights",1,4,2,2,"vote","trump",NA,6,5,3,"female",61,"white/non-hisp","bachelors","$85,000 to $99,999","ampride","trustgov","demsatis","radchange","antiest","CA",2,3,4,9,"11/21/2024 13:23"
230,"brkn",7,1,2,1,7,6,6.66666666666667,"Living cost","Not providing  needs for Americans by providing benefits like a living wage most American we are not keeping up with inflation everything going up while we still suffering to provide food and pay rent folks not taking vacation these days because of the lack of income we are getting as American.",0,"Jobs","Living cost","Medical","Social security","Immigration",7,7,7,7,"vote","other","Jill Stein",4,3,3,"male",64,"black/non-hisp","HS","$20,000 to $24,999","antiest","demsatis","ampride","radchange","trustgov","CA",1,1,4,9,"12/1/2024 17:57"
231,"ctrl",4.5,5,5,4,3,3,3.5,"Right to bear arms","Being necessary to the security of a free state The right of the people to keep and bear arms shall not be infringed",0,"Religious freedom","Right to bear arms","Freedom of speech","Search and seizure without probable cause","Due process",5,5,5,3,"no vote",NA,NA,6,5,3,"female",41,"white/non-hisp","HS","$100,000 to $124,999","radchange","trustgov","demsatis","antiest","ampride","UT",12,1,4,8,"12/1/2024 13:05"
234,"ctrl",5.5,2,3,2,5,5,5.16666666666667,"equal opportunity","No preference given on the basis of family heritage, ethnicity, or wealth. Availability of public education without differentiation based on economic status, and place of residence.",0,"freedom of speech","representation for all","religious freedom with no state religion","free trade","equal opportunity",6,5,5,6,"vote","harris",NA,1,1,1,"male",74,"white/non-hisp","bachelors","$40,000 to $49,999","antiest","demsatis","radchange","trustgov","ampride","NJ",5,1,1,2,"11/18/2024 20:23"
246,"brkn",6,2,1,2,6,7,6.33333333333333,"Capitalism","The U.S. is definitely enforcing capitalism to an obsessive degree. I can think of no proper way to answer this question.",0,"Liberty","Life","Capitalism","Guns","Money",5,5,7,7,"vote","harris",NA,2,1,2,"male",27,"asian/non-hisp","bachelors","$50,000 to $59,999","radchange","trustgov","ampride","antiest","demsatis","MD",11,2,3,5,"11/21/2024 7:27"
250,"kept",5,4,3,3,6,5,5.33333333333333,"pursuit of happiness","The United States upholds the promise of the pursuit of happiness by respecting the citizens' ways and means to obtain personal and communal success and life satisfaction.",0,"religious freedom","freedom of choice","freedom of speech","freedom to bear arms","pursuit of happiness",5,5,5,5,"vote","harris",NA,3,2,2,"male",42,"asian/non-hisp","bachelors","$175,000 to $199,999","ampride","antiest","demsatis","radchange","trustgov","CA",11,1,4,9,"11/18/2024 18:48"
257,"kept",5.5,5,2,7,7,6,6.16666666666667,"Freedom of speech","The media have been able to say whatever they wanted to say about the president elect before the election. People made their election choice from what they knew to be true not what the media wanted them to believe.",0,"Freedom of speech","Freedom of religion","Right to bare arms","Justice system is the best in the world.","Pride in our country",4,6,6,6,"vote","trump",NA,5,4,3,"male",57,"white/non-hisp","HS","$125,000 to $149,999","radchange","demsatis","antiest","ampride","trustgov","NJ",1,1,1,2,"11/18/2024 20:16"
262,"kept",4.25,4,3,5,5,5,4.75,"Freedom of religion","There is no state or national religion. Everyone is free to choose how they worship God as they see fit.",0,"Justice","Freedom of religion","Equality","Freedom of speech","Freedom to pursue prosperity",2,5,5,5,"vote","trump",NA,6,5,5,"female",44,"white/non-hisp","some coll","$40,000 to $49,999","antiest","ampride","trustgov","radchange","demsatis","KY",1,1,3,6,"11/18/2024 20:37"
265,"ctrl",3.5,5,2,7,5,6,4.83333333333333,"Liberty","Liberty is freedom from a tyrannical government. It is the freedom to live how you want and decide how you live",0,"Freedom","Liberty","Pursuit of happiness","Rule of law","Prosperity",4,2,4,4,"vote","trump",NA,5,4,3,"male",39,"white/non-hisp","bachelors","$125,000 to $149,999","demsatis","trustgov","antiest","radchange","ampride","ME",2,1,1,1,"11/18/2024 19:56"
268,"kept",3.75,5,4,5,4,4,3.91666666666667,"Equality","We aren’t at all living up to this quality in which is promised there isn’t much equality going on at all",0,"Freedom","Liberty","Equality","Individual rights","Freedom of speech",4,4,2,5,"no vote",NA,NA,4,3,3,"female",30,"white/non-hisp","some coll","under $5,000","radchange","antiest","trustgov","demsatis","ampride","CA",12,6,4,9,"11/18/2024 19:39"
269,"ctrl",3.75,5,1,6,2,7,4.25,"freedom","You have rules, and you have to follow them but you can speak what is on your mind, you can practice your own religion, and you are just as equal as the person next to you",0,"freedom","religion","equality","speach","have guns",6,2,2,5,"vote","harris",NA,2,1,4,"female",75,"white/non-hisp","HS","$50,000 to $59,999","ampride","trustgov","radchange","antiest","demsatis","WI",2,5,2,3,"11/19/2024 7:31"
279,"kept",4,5,3,3,6,5,5,"Change","We the people chose a president that will ensure a lot of change for us. He’s been president before and within those four years showed a lot of change",0,"Equality","Informality","The future","Change","Progress",5,5,3,3,"vote","trump",NA,7,5,5,"female",32,"multi/non-hisp","less HS","$35,000 to $39,999","demsatis","ampride","trustgov","antiest","radchange","NV",11,1,4,8,"11/18/2024 16:04"
287,"ctrl",6,4,2,2,6,6,6,"Help Others","Try to create a nation where one can have and achieve goals.  Sometimes it requires the help of others by way of education, employment, or assistance.",0,"Help Others","Republic","No Taxation Without Reprentation","Protect our allies","Respect",6,7,6,5,"vote","trump",NA,5,4,3,"male",41,"white/non-hisp","bachelors","$85,000 to $99,999","antiest","ampride","radchange","demsatis","trustgov","CO",11,1,4,8,"11/18/2024 18:51"
290,"ctrl",5.5,5,7,7,7,1,4.5,"Freedom","Freedom to live my life.
Freedom to have the things that I want
Freedom to be able to do what I want.",0,"Unity","Freedom","Free speech","Home","Value",7,7,7,1,"vote","trump",NA,7,5,1,"female",28,"black/non-hisp","HS","$85,000 to $99,999","ampride","demsatis","antiest","trustgov","radchange","GA",12,1,3,5,"11/24/2024 18:45"
310,"ctrl",6.75,4,1,2,6,7,6.58333333333333,"Freedom","All people own themselves and have the right to do anything they want as long as it does not infringe on another person's freedom.",0,"Freedom","Private Property","Liberty","Opportunity","Justice",6,7,7,7,"no vote",NA,NA,4,3,4,"male",30,"white/non-hisp","bachelors","$200,000 or more","antiest","ampride","demsatis","trustgov","radchange","CO",10,1,4,8,"11/20/2024 20:42"
318,"kept",4.25,5,NA,2,7,NA,5.625,"Democracy","It’s really not right now. Our government is a complete mess until 2025…and I’m not stating that because I’m a Republican.",0,"Democracy","Trust","Freedom of speech","Rights","Alliance",4,4,4,5,"vote","trump",NA,7,5,5,"female",53,"white/non-hisp","HS","$50,000 to $59,999","antiest","demsatis","trustgov","ampride","radchange","SC",11,2,3,5,"11/22/2024 15:26"
328,"brkn",7,1,1,1,7,7,7,"Opportunity","Certain groups of people are discriminated against and pushed aside no chance to prove themselves because of prejudice and injustice",0,"Liberty","Justice","Freedom","Opportunity","Uphold the constitution",7,7,7,7,"vote","harris",NA,1,1,2,"female",71,"black/non-hisp","HS","$15,000 to $19,999","radchange","trustgov","ampride","demsatis","antiest","FL",12,5,3,5,"11/18/2024 19:04"
334,"kept",6.66666666666667,2,2,2,6,6,6.22222222222222,"Freedom","Freedom is carried out when those in power remember that hos/her ideas are not the only valid ones. Tolerance is a must",0,"Freedom","Independence","Fairness","Ethical","Loyal",NA,7,6,7,"vote","harris",NA,6,5,3,"female",50,"white/non-hisp","bachelors","$175,000 to $199,999","ampride","antiest","trustgov","demsatis","radchange","TX",12,2,3,7,"11/18/2024 18:38"
338,"brkn",5.25,3,3,5,2,5,4.08333333333333,"Constitutional rights","The right to vote, proven this November. Right to bear arms, slowly being taken away. Right to free speech, also slowly being taken away.",0,"Constitutional rights","Society rights","Personal safety","Police crime prevention","Ability to live freely",4,5,7,5,"vote","trump",NA,3,2,3,"male",49,"asian/non-hisp","some coll","$25,000 to $29,999","ampride","trustgov","demsatis","radchange","antiest","WA",11,6,4,9,"11/20/2024 13:20"
349,"brkn",6,5,2,1,6,6,6,"family","planned mass deportation of foreigners, bipartisan, elected a criminal as the president of united states",0,"honest","integrity","faith","trust","family",5,6,6,7,"vote","harris",NA,3,2,3,"male",52,"asian/non-hisp","masters","$125,000 to $149,999","trustgov","antiest","radchange","ampride","demsatis","AZ",12,1,4,8,"11/19/2024 10:25"
354,"brkn",6.25,2,2,1,7,6,6.41666666666667,"Freedom of speech","When the incoming administration is threatening the freedom of the press, that is not living up to its promise of Freedom of Press.",0,"Freedom of speech","Freedom of religion","Freedom of the press","Voting","Freedom of assembly",7,7,6,5,"vote","harris",NA,2,1,3,"female",74,"white/non-hisp","HS","$75,000 to $84,999","demsatis","antiest","ampride","trustgov","radchange","WA",1,5,4,9,"11/19/2024 19:57"
357,"kept",6.25,2,1,1,4,7,5.75,"white people a in charge","When the Supreme Court changed the law to accommodate the President & eliminated his accountability.",0,"white people a in charge","law order iunequal","minorities are inferior","eliminate support the poor","no religion",7,4,7,7,"vote","harris",NA,1,1,3,"female",69,"black/non-hisp","some coll","$40,000 to $49,999","radchange","antiest","demsatis","trustgov","ampride","OH",1,5,2,3,"11/20/2024 6:57"
359,"brkn",5,5,3,3,3,5,4.33333333333333,"limited government expansion","Too many government departments controlling too much of our lives, thoughts and freedoms.
Too many politicians that believe a new, additional law rather than promoting morals solves problems.  
Too many laws.",0,"Freedom from Royalty","Freedom of religion","self-advancement","limited government expansion","free thought",4,6,5,5,"vote","trump",NA,6,5,4,"male",74,"white/non-hisp","masters","$85,000 to $99,999","demsatis","trustgov","radchange","ampride","antiest","NV",3,5,4,8,"11/19/2024 9:23"
